date,category,type,operator,yom,engine,engine_model,flight_phase,flight_type,site,location,country,region,latitude,longitude,aircraft_damage,occupants,fatalities,other_fatalities,cause
1970-02-04,Accident,Lockheed P-2 Neptune,French Navy (Aéronavale - Marine Nationale),1951,Multi Piston Engines,Unknown,Takeoff (climb),Military,Airport (less than 10 km from airport),"Lorient-Lann-Bihoué NAS, Morbihan",France,Europe,46.603354,1.8883335,Destroyed,12,12,0,Unknown
1970-02-04,Accident,Antonov AN-24,TAROM - Transporturile Aeriene Române,1967,Multi Turboprop Engines,Ivchenko AI-24,Flight,Scheduled Revenue Flight,Mountains,"Mt Vlădeasa, Cluj",Romania,Europe,46.78956959334011,23.564586544266778,Destroyed,21,20,0,Human factor
1970-02-04,Accident,Avro 748,Aerolineas Argentinas,1961,Multi Turboprop Engines,Unknown,Takeoff (climb),Scheduled Revenue Flight,"Plain, Valley","Loma Alta, Chaco",Argentina,South America,-21.884874,-63.7770007,Destroyed,37,37,0,Weather
1970-02-05,Accident,Lockheed L-188 Electra,VARIG - Viação Aérea Rio Grandense,1959,Multi Turboprop Engines,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Porto Alegre-Salgado Filho, Rio Grande do Sul",Brazil,South America,-29.935628100000002,-50.99700944103456,Destroyed,51,0,0,Human factor
1970-02-06,Accident,Douglas C-133 Cargomaster,United States Air Force - USAF (since 1947),1959,Multi Turboprop Engines,Pratt & Whitney T34-P-9W,Flight,Military,"Plain, Valley","Palisade, Nebraska",United States of America,North America,40.3499119,-101.1076937,Destroyed,5,5,0,Technical failure
1970-02-06,Accident,Ilyushin II-18,Aeroflot - Russian International Airlines,1962,Multi Turboprop Engines,Ivchenko AI-20K,Landing (descent or approach),Scheduled Revenue Flight,Mountains,"Samarkand, Samarkand Province (Samarqand viloyati)",Uzbekistan,Asia,39.6550017,66.9756954,Destroyed,106,92,0,Human factor
1970-02-09,Accident,De Havilland DH.106 Comet,United Arab Airlines,1960,Multi Jet Engines,Unknown,Takeoff (climb),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Munich-Riem, Bavaria",Germany,Europe,48.1231749,11.6640782,Destroyed,23,0,0,Weather
1970-02-09,Accident,De Havilland DHC-3 Otter,Belgische-Nederlandse Zuidpool Expeditie,1956,1 Piston engine,Unknown,Landing (descent or approach),Geographical / Geophysical / Scientific,"Plain, Valley","SANAE Station, All Antarctica",Antarctica,Antarctica,-72.8438691,0.0,Destroyed,0,0,0,Unknown
1970-02-10,Accident,De Havilland DHC-6 Twin Otter,Pilgrim Airlines,1967,Multi Turboprop Engines,Pratt & Whitney Canada PT6A-20,Landing (descent or approach),Scheduled Revenue Flight,"Lake, Sea, Ocean, River","Groton, Connecticut",United States of America,North America,41.3501598,-72.0761998,Destroyed,5,5,0,Technical failure
1970-02-12,Accident,Douglas C-47 Skytrain (DC-3),TAM Bolivia - Transporte Aéreo Militar Boliviano,1951,Multi Piston Engines,Unknown,Landing (descent or approach),Military,"Plain, Valley","Laja, La Paz",Bolivia,South America,-16.5365628,-68.3851786,Destroyed,5,0,0,Unknown
1970-02-12,Accident,Douglas C-47 Skytrain (DC-3),Lineas Aéreas La Urraca,1942,Multi Piston Engines,Pratt & Whitney R-1830-92,Flight,Scheduled Revenue Flight,"Plain, Valley","Puerto López, Meta",Colombia,South America,4.085013,-72.9584671,Destroyed,14,14,0,Technical failure
1970-02-12,Accident,Douglas C-47 Skytrain (DC-3),Aero Aysen,1944,Multi Piston Engines,Pratt & Whitney R-1830-90C,Flight,Cargo,"Lake, Sea, Ocean, River","Puerto Montt, Región de Los Lagos",Chile,South America,-41.471798,-72.9395915,Destroyed,2,0,0,Technical failure
1970-02-13,Unknown,Cessna 402,Avia-Taxi,1967,Unknown,Unknown,Flight,Charter/Taxi (Non Scheduled Revenue Flight),"Plain, Valley","Le Pin-la-Garenne, Orne",France,Europe,48.4413217,0.5464673,Unknown,10,10,0,Weather
1970-02-14,Unknown,Beechcraft E18,Central Flying Service,1958,Unknown,Unknown,Landing (descent or approach),Postal (mail),Airport (less than 10 km from airport),"Kansas City, Missouri",United States of America,North America,39.100105,-94.5781416,Unknown,1,1,0,Weather
1970-02-15,Accident,Douglas C-47 Skytrain (DC-3),Air Congo,1943,Multi Piston Engines,Pratt & Whitney R-1830-92,Unknown,Scheduled Revenue Flight,Airport (less than 10 km from airport),"Kinshasa-N'Djili, Kinshasa City Province",Democratic Republic of Congo,Africa,-15.4139213,28.289698,Destroyed,0,0,0,Unknown
1970-02-15,Accident,Douglas DC-9,Dominicana de Aviación,1969,Multi Jet Engines,P&W JT8D-7,Takeoff (climb),Scheduled Revenue Flight,"Lake, Sea, Ocean, River","Santo Domingo-Las Américas, Santo Domingo",Dominican Republic,Central America,19.0974031,-70.3028026,Destroyed,102,102,0,Technical failure
1970-02-17,Accident,Fokker F27 Friendship,Turkish Airlines - THY Türk Hava Yollari,1960,Multi Turboprop Engines,Unknown,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Samsun, Black Sea Region (Karadeniz Bölgesi)",Turkey,Asia,41.2303557,35.9683338,Substantial,29,0,0,Human factor
1970-02-17,Accident,Lisunov LI-2,Aviant - Kievskii Aviatsionnye Zavod,1952,Multi Piston Engines,Unknown,Takeoff (climb),Cargo,Airport (less than 10 km from airport),"Leningrad-Shosseynaya, Leningrad oblast",Russia,Asia,64.6863136,97.7453061,Destroyed,6,1,0,Other causes
1970-02-19,Accident,Fairchild C-119 Flying Boxcar,United States Air Force - USAF (since 1947),1953,Multi Piston Engines,Unknown,Landing (descent or approach),Survey / Patrol / Reconnaissance,Airport (less than 10 km from airport),"Đà Nẵng, Đà Nẵng City District",Vietnam,Asia,16.071571,108.2093029,Destroyed,10,0,0,Technical failure
1970-02-19,Unknown,Douglas C-47 Skytrain (DC-3),Air Congo,1943,Unknown,Unknown,Flight,Scheduled Revenue Flight,"Plain, Valley","Democratic Republic of Congo, All Democratic Republic of Congo",Democratic Republic of Congo,Africa,-15.4139213,28.289698,Unknown,17,17,0,Unknown
1970-02-20,Accident,Convair CV-240,Jet International,1949,Multi Piston Engines,Unknown,Landing (descent or approach),Executive/Corporate/Business,Airport (less than 10 km from airport),"Langley AFB (Hampton), Virginia",United States of America,North America,37.08751425,-76.35722238652752,Destroyed,28,0,0,Technical failure
1970-02-20,Accident,Douglas C-47 Skytrain (DC-3),Far Eastern Air Transport - FAT,1943,Multi Piston Engines,Unknown,Takeoff (climb),Cargo,Mountains,"Taipei-Songshan, Taipei City (臺北市)",Taiwan,Asia,25.0484248,121.55223321091044,Destroyed,2,2,0,Unknown
1970-02-21,Unlawful Interference,Convair CV-990,Swissair,1962,Multi Jet Engines,General Electric CJ805-23,Flight,Scheduled Revenue Flight,"Plain, Valley","Würenlingen, Aargau",Switzerland,Europe,47.5320878,8.2569618,Destroyed,47,47,0,"Terrorism act, hijacking, sabotage, any kind of hostile action"
1970-02-25,Accident,Curtiss C-46 Commando,Servicios Aéreos Curtiss,1951,Multi Piston Engines,Unknown,Takeoff (climb),Cargo,Airport (less than 10 km from airport),"San Francisco, Potosí",Bolivia,South America,-18.3636546,-66.6320289,Destroyed,2,0,0,Technical failure
1970-02-25,Accident,Ilyushin II-14,Aeroflot - Russian International Airlines,1956,Multi Piston Engines,Unknown,Takeoff (climb),Positioning,Airport (less than 10 km from airport),"Ust-Maya, Republic of Yakutia (Sakha)",Russia,Asia,64.6863136,97.7453061,Destroyed,5,5,0,Technical failure
1970-02-26,Accident,Antonov AN-12,Aeroflot - Russian International Airlines,1969,Multi Turboprop Engines,Ivchenko AI-20,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Beryozovo, Khantia-Mansia okrug",Russia,Asia,63.935246,65.053566,Destroyed,0,0,0,Human factor
1970-02-27,Accident,De Havilland DHC-6 Twin Otter,Nepalese Army,1968,Multi Turboprop Engines,Pratt & Whitney Canada PT6A-20,Takeoff (climb),Military,Airport (less than 10 km from airport),"Jomsom, Dhawalagiri",Nepal,Asia,28.3780464,83.9999901,Destroyed,5,1,0,Unknown
1970-02-28,Accident,Rockwell T-39 Sabreliner,United States Air Force - USAF (since 1947),1962,Multi Jet Engines,Unknown,Flight,Training,Airport (less than 10 km from airport),"Madrid-Torrejón AFB, Madrid",Spain,Europe,39.3260685,-4.8379791,Destroyed,1,1,0,Human factor
1970-03-02,Unknown,Pilatus PC-6 (Porter & Turbo Porter),Ciba-Pilatus Aerial Spraying Company,1969,Unknown,Unknown,Flight,Spraying (Agricultural),"Plain, Valley","Potgietersrus, Limpopo",South Africa,Africa,-24.183333,29.016667,Unknown,1,0,0,Unknown
1970-03-04,Accident,Lockheed C-130 Hercules,Pakistan Air Force - Pakistan Fiza'ya,1962,Multi Turboprop Engines,Allison T56-A-7,Unknown,Military,Airport (less than 10 km from airport),"Pakistan, All Pakistan",Pakistan,Asia,24.9766089,67.1030147,Destroyed,0,0,0,Unknown
1970-03-05,Accident,Lisunov LI-2,Aeroflot - Russian International Airlines,1951,Multi Piston Engines,Unknown,Takeoff (climb),Cargo,Airport (less than 10 km from airport),"Ust-Kut, Irkutsk oblast",Russia,Asia,56.7810026,105.7460255,Destroyed,5,0,0,Human factor
1970-03-06,Accident,Handley Page H.P.137 Jetstream,Bavaria Fluggesellschaft,1969,Multi Turboprop Engines,Unknown,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"Samedan, Graubünden",Switzerland,Europe,46.5332403,9.874586,Destroyed,11,11,0,Technical failure
1970-03-07,Unknown,Stinson SR-10 Reliant,Lyle Cameron,1943,Unknown,Unknown,Flight,Skydiving / Paratroopers,Airport (less than 10 km from airport),"Perris Valley, California",United States of America,North America,33.7643852,-117.21633420764394,Unknown,6,1,0,Human factor
1970-03-12,Accident,Douglas DC-6,Ethiopian Airlines,1958,Multi Piston Engines,Pratt & Whitney R-2800,Landing (descent or approach),Cargo,Airport (less than 10 km from airport),"Asmara, Maekel",Eritrea,Africa,15.3389667,38.9326763,Destroyed,4,0,0,Human factor
1970-03-14,Unlawful Interference,Antonov AN-24,United Arab Airlines,1965,Multi Turboprop Engines,Ivchenko AI-24,Landing (descent or approach),Scheduled Revenue Flight,Airport (less than 10 km from airport),"Cairo-Intl, Cairo",Egypt,Africa,30.1140504,31.424546074834208,Destroyed,15,0,0,Technical failure
1970-03-14,Accident,Fairchild-Hiller FH-227,Paraense Transportes Aéreos,1967,Multi Turboprop Engines,Unknown,Landing (descent or approach),Scheduled Revenue Flight,"Lake, Sea, Ocean, River","Belém-Val de Cans-Júlio Cezar Ribeiro, Pará",Brazil,South America,-1.3798578,-48.47964610194296,Destroyed,40,38,0,Human factor
1970-03-15,Unknown,Curtiss C-46 Commando,Aeropesca Colombia,1943,Unknown,Unknown,Unknown,Unknown,"Plain, Valley","Villavicencio, Meta",Colombia,South America,4.1347644,-73.6201517,Unknown,0,0,0,Unknown
1970-03-15,Accident,Fairchild C-82 Packet,Transportes Aéreos Benianos - TABSA,1945,Multi Piston Engines,Unknown,Takeoff (climb),Cargo,Airport (less than 10 km from airport),"Saipuru, Santa Cruz",Bolivia,South America,-19.5226762,-63.2336429,Destroyed,4,4,0,Unknown
1970-03-16,Accident,Lockheed C-121 Super Constellation,United States Navy - USN,1958,Multi Piston Engines,Unknown,Landing (descent or approach),Military,Airport (less than 10 km from airport),"Đà Nẵng, Đà Nẵng City District",Vietnam,Asia,16.071571,108.2093029,Destroyed,31,23,0,Human factor
1970-03-18,Unknown,Cessna 402,Suburban Airlines,1967,Unknown,Unknown,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Airport (less than 10 km from airport),"Newark, New Jersey",United States of America,North America,40.735657,-74.1723667,Unknown,4,4,0,Human factor
