name,make,model,body,position,wing,tail,engine,engine_count,wing_span,length,height
HINDUSTAN Chetan,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
HINDUSTAN Chetak,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
HINDUSTAN SA-316 Chetak,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
HINDUSTAN SA-316 Chetan,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
F+W EMMEN Alouette 3,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
F+W EMMEN SE-3160 Alouette 3,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
AEROSPATIALE SA-319 Alouette 3,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
AEROSPATIALE Alouette 3,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
AEROSPATIALE SA-316 Alouette 3,AEROSPATIALE,Alouette 3,,Three-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.02 m,10.17 m,3.00 m
AEROSPATIALE AS-332 Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
SINGAPORE AS-332 Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
SINGAPORE Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
TUSAS AS-532 Cougar,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
TUSAS Cougar,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
SF Cougar,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
SF AS-532 Cougar,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
NURTANIO Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
NURTANIO NAS-332 Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
NUSANTARA Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
NUSANTARA NAS-332 Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
RUAG Cougar,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
RUAG AS-532 Cougar,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
EUROCOPTER Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
EUROCOPTER Hkp10 Super Puma,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
EUROCOPTER Cougar,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
EUROCOPTER AS-532UL Cougar,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
EUROCOPTER AS-532UC Cougar,AEROSPATIALE,AS-332 Super Puma,,Four-blade main rotor,Rotary,Five-blade tail rotor,Turboshaft,Multi,15.00 m,16.36 m,4.92 m
