name,make,model,body,position,wing,tail,engine,engine_count,wing_span,length,height,manufactured_as
ATR ATR-42-400,ATR,ATR-42-400,Narrow,,Fixed Wing,,Turboprop,Multi,24.57 m,22.67 m,7.59 m,"['ATR ATR-42-400', 'ATR ATR-42-400 Surveyor', 'ATR Surveyor (ATR-42-400)', 'AEROSPATIALE ATR-42-400', 'AEROSPATIALE ATR-42-400 Surveyor', 'AEROSPATIALE Surveyor (ATR-42-400)', 'AI(R) ATR-42-400', 'ALENIA Surveyor (ATR-42-400)', 'ALENIA ATR-42-400', 'ALENIA ATR-42-400 Surveyor']"
AVRO Vulcan,AVRO,Vulcan,Narrow,Delta wing,Fixed Wing,,Jet,Multi,30.03 m,29.59 m,8.00 m,"['AVRO 698 Vulcan', 'AVRO Vulcan']"
BAE SYSTEMS Nimrod,BAE SYSTEMS,Nimrod,Narrow,Low wing,Fixed Wing,"Regular tail, low set",Jet,Multi,35.00 m,38.63 m,9.08 m,"['HAWKER SIDDELEY Nimrod', 'BRITISH AEROSPACE Nimrod', 'BAE SYSTEMS Nimrod']"
BAE SYSTEMS AVRO RJ-85,BAE SYSTEMS,AVRO RJ-85,Narrow,High wing,Fixed Wing,T-tail,Jet,Multi,26.34 m,28.55 m,8.61 m,"['BRITISH AEROSPACE RJ-85', 'AVRO RJ-85 Avroliner', 'AVRO Avroliner (RJ-85)', 'BAE SYSTEMS Avro RJ-85', 'AI(R) RJ-85 Avroliner', 'AI(R) Avroliner (RJ-85)']"
BAE SYSTEMS AVRO RJ-100,BAE SYSTEMS,AVRO RJ-100,Narrow,High wing,Fixed Wing,T-tail,Jet,Multi,26.34 m,31.00 m,8.61 m,"['BRITISH AEROSPACE RJ-100', 'AVRO Avroliner (RJ-100)', 'AVRO RJ-100 Avroliner', 'BAE SYSTEMS Avro RJ-100', 'AI(R) Avroliner (RJ-100)', 'AI(R) RJ-100 Avroliner']"
BAE SYSTEMS AVRO RJ-70,BAE SYSTEMS,AVRO RJ-70,Narrow,High wing,Fixed Wing,T-tail,Jet,Multi,26.21 m,26.16 m,8.59 m,"['BRITISH AEROSPACE RJ-70', 'AVRO Avroliner (RJ-70)', 'AVRO RJ-70 Avroliner', 'BAE SYSTEMS Avro RJ-70', 'AI(R) RJ-70 Avroliner', 'AI(R) Avroliner (RJ-70)']"
BEECH B36TC Bonanza,BEECH,B36TC Bonanza,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Piston,Single,11.50 m,8.40 m,2.60 m,
BEECH 1900,BEECH,1900,Narrow,,Fixed Wing,,Turboprop,Multi,17.70 m,17.60 m,4.70 m,"['RAYTHEON 1900', 'BEECH C-12J', 'BEECH 1900']"
BEECH 350 Super King Air,BEECH,350 Super King Air,Narrow,Low wing (winglets),Fixed Wing,T-tail,Turboprop,Multi,17.70 m,14.20 m,4.40 m,
BEECH 36 Bonanza (turbine),BEECH,36 Bonanza (turbine),Narrow,,Fixed Wing,,Turboprop,Single,8.40 m,8.10 m,2.60 m,"['TRADEWIND TURBINES 36 Prop-Jet Bonanza', 'TRADEWIND TURBINES Prop-Jet Bonanza', 'RAYTHEON 36 Bonanza (turbine)', 'RAYTHEON Bonanza (36, turbine)', 'BEECH 36 Bonanza (turbine)', 'BEECH Bonanza (36, turbine)', 'ALLISON 36 Turbine Bonanza', 'ALLISON Turbine Bonanza']"
BEECH 100 King Air,BEECH,100 King Air,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Turboprop,Multi,14.00 m,12.10 m,4.70 m,"['BEECH 100 King Air', 'BEECH King Air (100)', 'BEECH U-21F Ute', 'BEECH Ute (U-21F)']"
BEECH 200 Super King Air,BEECH,200 Super King Air,Narrow,Low wing,Fixed Wing,T-tail,Turboprop,Multi,16.60 m,13.40 m,4.50 m,"['RAYTHEON C-12 Huron', 'RAYTHEON 200 Super King Air', 'RAYTHEON Super King Air (200)', 'HAWKER BEECHCRAFT King Air 200', 'HAWKER BEECHCRAFT 200 King Air 200', 'BEECH C-12C Huron', 'BEECH C-12D Huron', 'BEECH C-12E Huron', 'BEECH C-12F Huron', 'BEECH C-12L Huron', 'BEECH Commuter', 'BEECH C-12R Huron', 'BEECH C-12A Huron', 'BEECH 1300 Commuter', 'BEECH 200 Super King Air', 'BEECH JC-12 Huron', 'BEECH UC-12 Huron', 'BEECH FWC-12 Tzufit', 'BEECH Super King Air (200)', 'BEECH Tzufit', 'BEECH TC-12 Huron', 'BEECH RC-12 Huron', 'BEECH NC-12 Huron', 'BEECH Huron']"
BEECH 23 Musketeer,BEECH,23 Musketeer,Narrow,,Fixed Wing,,Piston,Single,10.00 m,7.60 m,2.50 m,"['BEECH 23 Sundowner', 'BEECH 23 Musketeer', 'BEECH Musketeer', 'BEECH Sundowner']"
BEECH Musketeer Super,BEECH,Musketeer Super,Narrow,,Fixed Wing,,Piston,Single,9.98 m,7.82 m,2.51 m,"['BEECH 24 Sierra', 'BEECH 24 Musketeer Super', 'BEECH Sierra', 'BEECH Musketeer Super']"
BEECH 300 Super King Air,BEECH,300 Super King Air,Narrow,,Fixed Wing,,Turboprop,Multi,16.61 m,13.34 m,4.57 m,"['RAYTHEON Super King Air (300)', 'RAYTHEON 300 Super King Air', 'BEECH 300 Super King Air', 'BEECH Super King Air (300)']"
BEECH 33 Debonair,BEECH,33 Debonair,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Piston,Single,10.20 m,7.80 m,2.50 m,"['RAYTHEON 33 Bonanza', 'RAYTHEON Bonanza (33)', 'HESA Parastu', 'COLEMILL Starfire Bonanza 33', 'BEECH 33 Bonanza', 'BEECH 33 Debonair', 'BEECH Debonair', 'BEECH Bonanza (33)']"
BEECH 36 Bonanza (piston),BEECH,36 Bonanza (piston),Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Piston,Single,8.40 m,8.10 m,2.60 m,"['RAYTHEON Bonanza (36, piston)', 'RAYTHEON 36 Bonanza (piston)', 'HAWKER BEECHCRAFT Bonanza', 'HAWKER BEECHCRAFT 36 Bonanza', 'COLEMILL Starfire Bonanza 36', 'BEECH 36 Bonanza (piston)', 'BEECH Bonanza (36, piston)']"
BEECH 400 Beechjet,BEECH,400 Beechjet,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,13.30 m,14.80 m,4.20 m,"['RAYTHEON 400 Beechjet', 'RAYTHEON Hawker 400', 'RAYTHEON Beechjet', 'RAYTHEON Jayhawk', 'RAYTHEON T-1 Jayhawk', 'RAYTHEON T-400 Beechjet', 'HAWKER BEECHCRAFT Hawker 400', 'BEECH Beechjet', 'BEECH 400 Beechjet', 'BEECH Jayhawk', 'BEECH T-400 Beechjet', 'BEECH T-1 Jayhawk']"
BEECH 50 Twin Bonanza,BEECH,50 Twin Bonanza,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Piston,Multi,14.00 m,9.60 m,3.50 m,"['SWEARINGEN Excalibur', 'EXCALIBUR Excalibur', 'BEECH RU-8 Seminole', 'BEECH Seminole (U-8D/E/G)', 'BEECH U-8E Seminole', 'BEECH U-8G Seminole', 'BEECH Twin Bonanza', 'BEECH U-8D Seminole', 'BEECH 50 Twin Bonanza']"
BEECH 55 Baron,BEECH,55 Baron,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Piston,Multi,11.50 m,8.50 m,2.90 m,"['COLEMILL President 600', 'COLEMILL Foxstar Baron 55', 'BEECH 55 Baron', 'BEECH C-55 Baron', 'BEECH Cochise', 'BEECH Baron (55)', 'BEECH T-42 Cochise']"
BEECH 56 Turbo Baron,BEECH,56 Turbo Baron,Narrow,,Fixed Wing,,Turboprop,Multi,11.53 m,8.53 m,2.92 m,"['BEECH 56 Turbo Baron', 'BEECH Turbo Baron']"
BEECH 58 Baron,BEECH,58 Baron,Narrow,Low wing,Fixed Wing,"Regular tail, high set",Piston,Multi,11.50 m,9.10 m,2.97 m,"['RAYTHEON Baron', 'RAYTHEON 58 Baron', 'HAWKER BEECHCRAFT Baron', 'HAWKER BEECHCRAFT 58 Baron', 'COLEMILL Foxstar Baron 58', 'BEECH Baron (58)', 'BEECH 58 Baron']"
BEECH 60 Duke,BEECH,60 Duke,Narrow,Low wing,Fixed Wing,Regular tail (Dihedral),Piston,Multi,12.00 m,10.30 m,3.80 m,"['BEECH Duke', 'BEECH 60 Duke']"
BEECH 65 Queen Air,BEECH,65 Queen Air,Narrow,,Fixed Wing,,Piston,Multi,15.50 m,10.80 m,4.30 m,"['SWEARINGEN 800 (65)', 'EXCALIBUR Queenaire 800 (65)', 'BEECH Seminole (U-8F)', 'BEECH Queen Air (65)', 'BEECH U-8F Seminole', 'BEECH 65 Queen Air']"
BEECH 70 Queen Air,BEECH,70 Queen Air,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Piston,Multi,15.50 m,10.80 m,4.50 m,"['BEECH Queen Air (70)', 'BEECH 70 Queen Air']"
BEECH 76 Duchess,BEECH,76 Duchess,Narrow,Low wing,Fixed Wing,T-tail,Piston,Multi,11.60 m,8.90 m,2.90 m,"['BEECH Duchess', 'BEECH 76 Duchess']"
BEECH 77 Skipper,BEECH,77 Skipper,Narrow,,Fixed Wing,,Piston,Single,9.10 m,7.30 m,1.81 m,"['BEECH Skipper', 'BEECH 77 Skipper']"
BEECH 80 Queen Air,BEECH,80 Queen Air,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Piston,Multi,15.50 m,10.80 m,4.30 m,"['SWEARINGEN 800 (80)', 'EXCALIBUR Queenaire 800 (80)', 'EXCALIBUR Queenaire 8800', 'BEECH 80 Queen Air', 'BEECH Queen Air (80)', 'BEECH Zamir', 'BEECH 80 Zamir']"
BEECH 99 Airliner,BEECH,99 Airliner,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Turboprop,Multi,14.00 m,13.60 m,4.40 m,"['BEECH 99 Airliner', 'BEECH Airliner']"
BEECH 90 King Air,BEECH,90 King Air,Narrow,,Fixed Wing,,Turboprop,Multi,15.30 m,10.80 m,4.30 m,"['SWEARINGEN Taurus 90', 'RAYTHEON King Air', 'RAYTHEON 90 King Air', 'JETCRAFTERS Taurus 90', 'HAWKER BEECHCRAFT 90 King Air 90', 'HAWKER BEECHCRAFT King Air 90', 'BEECH 90 (D90) King Air', 'BEECH 90 (E90) King Air', 'BEECH 90 King Air', 'BEECH King Air (90, A90 to E90)', 'BEECH VC-6 King Air', 'BEECH T-44 King Air', 'BEECH 90 (C90) King Air', 'BEECH 90 (A90) King Air', 'BEECH 90 (B90) King Air']"
BEECH King Air (F90),BEECH,King Air (F90),Narrow,,Fixed Wing,,Turboprop,Multi,15.30 m,10.80 m,4.50 m,"['BEECH 90 (F90) King Air', 'BEECH King Air (F90)']"
BEECH Starship,BEECH,Starship,Narrow,Delta wing (canard front wing),Fixed Wing,Canard front wings,Turboprop,Multi,16.60 m,14.10 m,3.90 m,"['RAYTHEON 2000 Starship', 'RAYTHEON Starship', 'BEECH 2000 Starship', 'BEECH Starship']"
BELL B-206 JetRanger,BELL,B-206 JetRanger,Narrow,Two-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.16 m,2.83 m,12.11 m,"['PANHA 2061', 'COMMONWEALTH (1) BA-206 Kiowa', 'COMMONWEALTH (1) CA-32 Kiowa', 'COMMONWEALTH (1) Kiowa', 'BELL COH-58', 'BELL Combat Scout', 'BELL Creek', 'BELL TH-206', 'BELL TH-67 Creek', 'BELL 406', 'BELL 406 Combat Scout', 'BELL 206L LongRanger', 'BELL 206B JetRanger', 'BELL 206A JetRanger', 'BELL JetRanger', 'BELL CH-136', 'BELL CH-139', 'BELL OH-58 Kiowa Warrior', 'BELL OH-58 Kiowa', 'BELL VH-4 JetRanger', 'BELL LongRanger', 'BELL Kiowa Warrior', 'BELL TH-57 SeaRanger', 'BELL SeaRanger', 'BELL Kiowa', 'AGUSTA JetRanger', 'AGUSTA Hkp6 JetRanger', 'AGUSTA LongRanger', 'AGUSTA AB-206 LongRanger', 'AGUSTA AB-206 JetRanger']"
BELL B-206LT TwinRanger,BELL,B-206LT TwinRanger,Narrow,Two-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Multi,10.16 m,12.11 m,2.83 m,"['TRIDAIR 206L-ST Gemini ST', 'TRIDAIR Gemini ST', 'BELL TwinRanger', 'BELL 206LT TwinRanger']"
BELL 212 Twin Huey,BELL,212 Twin Huey,,,Rotary,,Turboshaft,Single,14.64 m,17.43 m,3.83 m,"['BELL Twin Two-Twelve', 'BELL 212', 'BELL 212 Twin Two-Twelve', 'BELL VH-1', 'BELL UH-1N', 'AGUSTA AB-212']"
BELL B-222,BELL,B-222,,,Rotary,,Turboshaft,Multi,12.20 m,12.85 m,3.56 m,['BELL 222']
BELL B-230,BELL,B-230,Narrow,Two-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Multi,12.80 m,15.32 m,3.56 m,['BELL 230']
BELL 407,BELL,407,,Four-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,10.67 m,12.70 m,3.56 m,"['NUSANTARA NBell-407', 'BELL 407', 'BELL Arapaho (RH-70)', 'BELL ARH-70 Arapaho', 'BELL YRH-70 Arapaho']"
BELL B-412,BELL,B-412,,,Rotary,,Turboshaft,Multi,14.00 m,17.10 m,4.60 m,"['NUSANTARA NBell-412', 'DIRGANTARA NBell-412', 'BELL 412', 'BELL Arapaho (412)', 'BELL Griffon', 'BELL Griffin', 'BELL CH-146 Griffon', 'BELL 412 Sentinel', 'BELL 412 Arapaho', 'BELL Sentinel', 'AGUSTA Griffon', 'AGUSTA Hkp11', 'AGUSTA AB-412', 'AGUSTA AB-412 Griffon']"
BELL B-427,BELL,B-427,,,Rotary,,Turboshaft,Multi,11.28 m,10.94 m,3.49 m,"['KOREA AEROSPACE SB-427', 'BELL 427']"
BELL B-429,BELL,B-429,,,Rotary,,Turboshaft,Multi,10.97 m,12.70 m,4.04 m,"['BELL 429 GlobalRanger', 'BELL GlobalRanger']"
BELL B-430,BELL,B-430,,Four-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Multi,12.80 m,13.44 m,3.73 m,['BELL 430']
BELL 47G Trooper,BELL,47G Trooper,,,Rotary,,Piston,Single,11.32 m,9.63 m,2.83 m,"['WESTLAND Sioux', 'KAWASAKI 47G', 'BELL Trooper', 'BELL 47G', 'BELL 47H', 'BELL 47G Trooper', 'BELL 47D', 'BELL TH-13T', 'BELL UH-13H', 'BELL Sioux', 'BELL OH-13 Sioux', 'AGUSTA AB-47G']"
BELL 47J Ranger,BELL,47J Ranger,,,Rotary,,Turboshaft,Single,11.32 m,9.63 m,2.83 m,"['BELL 47J Ranger', 'BELL HH-13', 'BELL Ranger', 'BELL TH-13N', 'BELL UH-13P', 'BELL UH-13J', 'BELL UH-13R', 'AGUSTA AB-47J']"
BELL B-505 Jet Ranger X,BELL,B-505 Jet Ranger X,Narrow,Two-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,11.28 m,12.95 m,3.25 m,
BELL SuperTransport,BELL,SuperTransport,,,Rotary,,Turboshaft,Multi,15.85 m,15.03 m,4.84 m,"['BELL SuperTransport', 'BELL 214ST SuperTransport']"
BELL AH-1 Cobra,BELL,AH-1 Cobra,,Two-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,13.60 m,16.10 m,4.10 m,"['FUJI HueyCobra', 'FUJI AH-1 HueyCobra', 'BELL AH-1S HueyCobra', 'BELL 209 HueyCobra', 'BELL HueyCobra', 'BELL AH-1E HueyCobra', 'BELL AH-1F HueyCobra', 'BELL AH-1P HueyCobra', 'BELL TAH-1 HueyCobra', 'BELL TH-1S HueyCobra']"
BELL SuperCobra,BELL,SuperCobra,,Two-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Multi,14.60 m,13.60 m,4.10 m,"['PANHA 2091', 'BELL 449 SuperCobra', 'BELL 209 SuperCobra', 'BELL SuperCobra', 'BELL AH-1Z SuperCobra', 'BELL AH-1W SuperCobra']"
BELL UH-1 Iroquois,BELL,UH-1 Iroquois,,Two-blade main rotor,Rotary,Two-blade tail rotor,Turboshaft,Single,14.63 m,17.62 m,4.42 m,"['UNC Ultra Huey', 'PANHA Shabaviz 2-75', 'GLOBAL Huey 800', 'FUJI UH-1', 'FUJI 204', 'FUJI 205', 'DORNIER UH-1', 'BELL 210', 'BELL 205', 'BELL 204', 'BELL Iroquois', 'BELL Huey', 'BELL HH-1 Iroquois', 'BELL EH-1 Iroquois', 'BELL CH-118', 'BELL CUH-1H', 'BELL UH-1C Iroquois', 'BELL UH-1B Iroquois', 'BELL UH-1A Iroquois', 'BELL UH-1L Iroquois', 'BELL TH-1H Iroquois', 'BELL SH-1 Iroquois', 'BELL TH-1E Iroquois', 'BELL TH-1F Iroquois', 'BELL TH-1L Iroquois', 'BELL UH-1F Iroquois', 'BELL UH-1V Iroquois', 'BELL UH-1M Iroquois', 'BELL UH-1H Iroquois', 'BELL UH-1E Iroquois', 'BELL UH-1D Iroquois', 'AIDC UH-1', 'AGUSTA Hkp3', 'AGUSTA AB-204', 'AGUSTA AB-205']"
BELL UH-1Y Venom,BELL,UH-1Y Venom,,Four-blade main rotor,Rotary,Four-blade tail rotor,Turboshaft,Multi,14.88 m,17.78 m,4.50 m,['BELL UH-1Y']
BELL-BOEING V-22,BELL-BOEING,V-22,Narrow,Three-blade tandem rotors,Rotary,"Double fin, low set",Turboshaft,Multi,25.80 m,17.50 m,6.73 m,"['BELL-BOEING 901 Osprey', 'BELL-BOEING CV-22 Osprey', 'BELL-BOEING MV-22 Osprey', 'BELL-BOEING V-22 Osprey', 'BELL-BOEING Osprey']"
BERIEV A-50,BERIEV,A-50,Narrow,High wing,Fixed Wing,T-tail,Jet,Multi,50.50 m,49.59 m,14.76 m,"['ILYUSHIN A-50', 'ILYUSHIN Be-976', 'BERIEV A-50', 'BERIEV Be-976']"
BERIEV Be-12 Tchaika,BERIEV,Be-12 Tchaika,Narrow,,Fixed Wing,,Turboprop,Multi,29.84 m,30.11 m,7.94 m,"['BERIEV Be-12 Tchaika', 'BERIEV Tchaika']"
BERIEV Be-200 Altair,BERIEV,Be-200 Altair,Narrow,,Fixed Wing,,Jet,Multi,32.80 m,32.00 m,8.90 m,"['BERIEV Altair', 'BERIEV Be-200 Altair']"
BERIEV A-40 Albatross,BERIEV,A-40 Albatross,Narrow,High swept wing,Fixed Wing,T-tail,Jet,Multi,41.62 m,43.84 m,11.00 m,"['BERIEV Albatross', 'BERIEV A-40 Albatross']"
BOEING 737 MAX 8,BOEING,737 MAX 8,Narrow,Low wing (winglets),Fixed Wing,"Regular tail, mid set",Jet,Multi,35.90 m,39.50 m,12.30 m,
BOEING 737 MAX 9,BOEING,737 MAX 9,Narrow,Low wing (winglets),Fixed Wing,"Regular tail, mid set",Jet,Multi,35.90 m,42.16 m,12.30 m,
BOEING B-52 Stratofortress,BOEING,B-52 Stratofortress,Narrow,High swept wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,56.40 m,48.03 m,12.40 m,"['BOEING Stratofortress', 'BOEING B-52 Stratofortress']"
BOEING 707-100,BOEING,707-100,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,39.90 m,44.07 m,12.90 m,['BOEING 707-100']
BOEING 707-300,BOEING,707-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,44.40 m,46.61 m,12.93 m,"['BOEING KC-137', 'GRUMMAN E-8 J-Stars', 'GRUMMAN J-Stars', 'IAI 707 Phalcon', 'IAI Phalcon', 'NORTHROP GRUMMAN E-8 J-Stars', 'NORTHROP GRUMMAN J-Stars', 'BOEING C-137', 'BOEING E-8 J-Stars', 'BOEING EC-18', 'BOEING EC-137', 'BOEING 707-300', 'BOEING J-Stars', 'BOEING C-18']"
BOEING 717-200,BOEING,717-200,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,28.47 m,37.80 m,8.92 m,"['BOEING 717-200 Business Express', 'BOEING 717-200', 'BOEING Business Express']"
BOEING 727-100,BOEING,727-100,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,32.90 m,40.60 m,10.30 m,"['BOEING 727-100', 'BOEING C-22']"
BOEING 727-200,BOEING,727-200,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,32.90 m,46.70 m,10.40 m,['BOEING 727-200']
BOEING 737-100,BOEING,737-100,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.35 m,28.63 m,11.23 m,['BOEING 737-100']
BOEING 737-200,BOEING,737-200,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.35 m,30.53 m,11.23 m,"['BOEING CT-43', 'BOEING VC-96', 'BOEING Surveiller', 'BOEING 737-200', 'BOEING 737-200 Surveiller']"
BOEING 737-300,BOEING,737-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.90 m,33.44 m,11.10 m,['BOEING 737-300']
BOEING 737-400,BOEING,737-400,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.90 m,36.48 m,11.13 m,['BOEING 737-400']
BOEING 737-500,BOEING,737-500,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,28.80 m,31.06 m,11.13 m,['BOEING 737-500']
BOEING 737-600,BOEING,737-600,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.30 m,31.27 m,12.60 m,['BOEING 737-600']
BOEING 737-700,BOEING,737-700,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.30 m,33.65 m,12.60 m,"['BOEING 737-700', 'BOEING BBJ', 'BOEING 737-700 BBJ', 'BOEING Clipper', 'BOEING C-40 Clipper', 'BOEING C-40']"
BOEING 737-800,BOEING,737-800,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.32 m,39.50 m,12.60 m,"['BOEING BBJ2', 'BOEING 737-800 BBJ2', 'BOEING 737-800']"
BOEING 737-900,BOEING,737-900,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,34.30 m,41.94 m,12.60 m,"['BOEING BBJ3', 'BOEING 737-900 BBJ3', 'BOEING 737-900']"
BOEING 747-100,BOEING,747-100,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,70.60 m,19.30 m,['BOEING 747-100']
BOEING 747-200,BOEING,747-200,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,70.60 m,19.30 m,"['BOEING VC-25', 'BOEING E-4', 'BOEING 747-200']"
BOEING 747-300,BOEING,747-300,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,70.60 m,19.30 m,['BOEING 747-300']
"BOEING 747-400 (international, winglets)",BOEING,"747-400 (international, winglets)",Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,64.40 m,70.60 m,19.40 m,"['BOEING YAL-1', 'BOEING 747-400 (international, winglets)']"
BOEING 747-8,BOEING,747-8,Wide,Low swept wing (Raked wings),Fixed Wing,"Regular tail, low set",Jet,Multi,68.45 m,76.25 m,19.35 m,['BOEING 747-8']
"BOEING 747-400 (domestic, no winglets)",BOEING,"747-400 (domestic, no winglets)",Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,70.60 m,19.40 m,"['BOEING 747-400 (domestic, no winglets)']"
BOEING 747SR,BOEING,747SR,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,70.60 m,19.30 m,['BOEING 747SR']
BOEING 747SP,BOEING,747SP,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,59.60 m,56.30 m,19.40 m,['BOEING 747SP']
BOEING 757-200,BOEING,757-200,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,38.10 m,47.30 m,13.60 m,"['BOEING C-32', 'BOEING 757-200']"
BOEING 757-300,BOEING,757-300,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,38.10 m,54.50 m,13.60 m,['BOEING 757-300']
BOEING 767-200ER,BOEING,767-200ER,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,47.60 m,48.50 m,15.90 m,"['BOEING KC-767', 'BOEING 767-200']"
BOEING 767-300ER,BOEING,767-300ER,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,47.60 m,54.90 m,15.90 m,['BOEING 767-300']
BOEING 767-400,BOEING,767-400,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,51.90 m,61.40 m,16.80 m,['BOEING 767-400']
BOEING 777-200 / 777-200ER,BOEING,777-200 / 777-200ER,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,60.90 m,63.70 m,18.70 m,"['BOEING 777-200', 'BOEING 777-200ER']"
BOEING 777-300,BOEING,777-300,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,60.90 m,73.80 m,18.70 m,['BOEING 777-300']
BOEING 777-200LR and 777-F,BOEING,777-200LR and 777-F,Wide,Low wing,Fixed Wing,Regular tail (Dihedral),Jet,Multi,64.80 m,63.70 m,18.60 m,"['BOEING 777-200LR', 'BOEING 777-F']"
BOEING 777-300ER,BOEING,777-300ER,Wide,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,64.80 m,73.90 m,18.50 m,['BOEING 777-300ER']
BOEING 787-8 Dreamliner,BOEING,787-8 Dreamliner,Wide,Low wing,Fixed Wing,Regular tail (Dihedral),Jet,Multi,60.10 m,56.70 m,16.90 m,"['BOEING Dreamliner (Srs.8)', 'BOEING 787-8 Dreamliner']"
BOEING 787-9 Dreamliner,BOEING,787-9 Dreamliner,Wide,Low wing,Fixed Wing,Regular tail (Dihedral),Jet,Multi,60.10 m,62.80 m,16.90 m,"['BOEING Dreamliner (Srs.9)', 'BOEING 787-9 Dreamliner']"
BOEING 747 LCF,BOEING,747 LCF,Wide,,Fixed Wing,,Jet,Multi,64.40 m,71.68 m,21.54 m,"['BOEING Dreamlifter', 'BOEING 747-400LCF Dreamlifter']"
BOEING C-135 Stratolifter,BOEING,C-135 Stratolifter,Narrow,,Fixed Wing,,Jet,Multi,39.90 m,51.50 m,12.70 m,"['BOEING WC-135', 'BOEING TC-135', 'BOEING Stratolifter', 'BOEING OC-135', 'BOEING NKC-135', 'BOEING EC-135', 'BOEING C-135B Stratolifter', 'BOEING C-135E Stratolifter', 'BOEING C-135K Stratolifter', 'BOEING C-135C Stratolifter']"
BOEING C-17 Globemaster 3,BOEING,C-17 Globemaster 3,Wide,High wing (winglets),Fixed Wing,T-tail,Jet,Multi,51.80 m,53.00 m,16.80 m,"['MCDONNELL DOUGLAS Globemaster 3', 'MCDONNELL DOUGLAS C-17 Globemaster 3', 'BOEING CC-177 Globemaster III', 'BOEING Globemaster 3', 'BOEING C-17 Globemaster 3']"
BOEING C-97 Stratofreighter,BOEING,C-97 Stratofreighter,,,Fixed Wing,,Piston,Multi,43.10 m,33.70 m,11.70 m,"['BOEING C-97 Stratofreighter', 'BOEING Stratofreighter']"
BOEING E-3D Sentry,BOEING,E-3D Sentry,Wide,,Fixed Wing,,Jet,Multi,44.40 m,46.60 m,12.60 m,"['BOEING Sentry (CFM56)', 'BOEING E-3D Sentry', 'BOEING E-3A (CFM56) Sentry', 'BOEING E-3F Sentry']"
BOEING E-3 Sentry,BOEING,E-3 Sentry,Wide,,Fixed Wing,,Jet,Multi,44.40 m,46.60 m,12.70 m,"['BOEING Sentry (TF33)', 'BOEING E-3B Sentry', 'BOEING E-3A (TF33) Sentry', 'BOEING JE-3 Sentry', 'BOEING E-3C Sentry']"
