name,make,model,body,position,wing,tail,engine,engine_count,wing_span,length,height,manufactured_as
DIAMOND DV-20 Katana,DIAMOND,DV-20 Katana,Narrow,,Fixed Wing,,Piston,Single,10.87 m,7.16 m,2.18 m,"['HOAC DV-20 Katana', 'HOAC Katana', 'DIAMOND DA-20 Falcon', 'DIAMOND DA-20 Katana', 'DIAMOND DA-22 Speed Katana', 'DIAMOND DV-20 Katana', 'DIAMOND Eclipse', 'DIAMOND Evolution', 'DIAMOND Falcon', 'DIAMOND DA-20 Evolution', 'DIAMOND Katana (DA-20/DV-20)', 'DIAMOND Speed Katana', 'DIAMOND DA-20 Eclipse']"
DIAMOND DA40,DIAMOND,DA40,Narrow,Low wing,Fixed Wing,T-tail,Piston,Single,11.90 m,8.10 m,1.98 m,"['DIAMOND DA-40 Diamond Star', 'DIAMOND DA-40 Katana', 'DIAMOND Diamond Star', 'DIAMOND Katana (DA-40)']"
DOUGLAS DC-3,DOUGLAS,DC-3,Narrow,Low wing,Fixed Wing,T-tail,Piston,Multi,29.00 m,19.70 m,5.16 m,"['LISUNOV Li-2', 'DOUGLAS C-47B Skytrain', 'DOUGLAS C-117B Skytrooper', 'DOUGLAS C-47 Skytrain', 'DOUGLAS DST', 'DOUGLAS C-47A Skytrain', 'DOUGLAS LC-47 Skytrain', 'DOUGLAS C-117C Skytrooper', 'DOUGLAS RC-47 Skytrain', 'DOUGLAS AC-47 Skytrain', 'DOUGLAS Skytrooper', 'DOUGLAS DC-3', 'DOUGLAS Skytrain', 'DOUGLAS Dakota', 'DOUGLAS TC-47 Skytrain', 'DOUGLAS C-41', 'DOUGLAS C-117A Skytrooper', 'DOUGLAS C-53 Skytrooper', 'DOUGLAS C-47J Skytrain', 'DOUGLAS C-47H Skytrain', 'DOUGLAS C-47D Skytrain', 'DOUGLAS R4D-3 Skytrooper', 'DOUGLAS R4D-1 Skytrain', 'DOUGLAS EC-47 Skytrain', 'DOUGLAS HC-47 Skytrain', 'DOUGLAS VC-47 Skytrain', 'DOUGLAS R4D-7 Skytrain', 'DOUGLAS R4D-6 Skytrain', 'DOUGLAS R4D-5 Skytrain']"
DOUGLAS DC-8-50,DOUGLAS,DC-8-50,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,43.40 m,45.90 m,12.90 m,"['DOUGLAS DC-8-50', 'DOUGLAS Jet Trader', 'DOUGLAS DC-8-50 Jet Trader', 'MCDONNELL DOUGLAS Jet Trader', 'MCDONNELL DOUGLAS DC-8-50 Jet Trader', 'MCDONNELL DOUGLAS DC-8-50']"
DOUGLAS DC-8-60,DOUGLAS,DC-8-60,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,43.40 m,57.10 m,12.90 m,"['DOUGLAS DC-8-60', 'MCDONNELL DOUGLAS DC-8-60']"
DOUGLAS DC-8-70,DOUGLAS,DC-8-70,Narrow,Low wing,Fixed Wing,"Regular tail, mid set",Jet,Multi,45.20 m,57.10 m,13.10 m,"['DOUGLAS DC-8-70', 'MCDONNELL DOUGLAS DC-8-70']"
DOUGLAS DC-9-10,DOUGLAS,DC-9-10,Narrow,Low wing,Fixed Wing,"Regular tail, high set",Jet,Multi,27.25 m,31.82 m,8.38 m,"['MCDONNELL DOUGLAS DC-9-10', 'DOUGLAS DC-9-10']"
DOUGLAS DC-9-20,DOUGLAS,DC-9-20,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,27.25 m,31.82 m,8.38 m,"['MCDONNELL DOUGLAS DC-9-20', 'DOUGLAS DC-9-20']"
DOUGLAS DC-9-30,DOUGLAS,DC-9-30,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,28.47 m,36.37 m,8.38 m,"['MCDONNELL DOUGLAS Nightingale', 'MCDONNELL DOUGLAS Skytrain 2', 'MCDONNELL DOUGLAS VC-9', 'MCDONNELL DOUGLAS C-9 Skytrain 2', 'MCDONNELL DOUGLAS C-9 Nightingale', 'MCDONNELL DOUGLAS DC-9-30', 'DOUGLAS DC-9-30']"
DOUGLAS DC-9-40,DOUGLAS,DC-9-40,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,28.47 m,38.28 m,8.38 m,"['MCDONNELL DOUGLAS DC-9-40', 'DOUGLAS DC-9-40']"
DOUGLAS DC-9-50,DOUGLAS,DC-9-50,Narrow,Low wing,Fixed Wing,T-tail,Jet,Multi,28.50 m,40.70 m,8.53 m,"['MCDONNELL DOUGLAS DC-9-50', 'DOUGLAS DC-9-50']"
